bin,incident date,record type description,check2 description,fatality,injury,borough,postcode,latitude,longitude,community board,council district,bbl,census tract (2020),neighborhood tabulation area (nta) (2020),permit_count,unique_job_types,unique_work_types,residential_any,temperature,rainfall,wind_speed
4042212.0,9/16/2025,Incident,Other Construction Related,0,0,Queens,11368.0,40.757809,-73.861717,403.0,21.0,4017020062.0,373.0,QN0302,1.0,1.0,1.0,0.0,20.4,0.0,16.2
3061068.0,7/16/2024,Accident,Material Failure (Fell),1,2,Staten Island,11230.0,40.61057217543124,-73.78615142382598,402.0,30.0,1011500037.0,397.0,BK0601,34.0,4.0,5.0,1.0,18.025555833672986,2.278628173504834,21.269016115776882
3061583.0,12/21/2024,Incident,Material Failure (Fell),0,0,Brooklyn,11249.0,40.723301,-73.960597,301.0,33.0,3022940001.0,557.0,BK0102,2.0,2.0,2.0,0.0,-2.5,3.7,19.7
1083689.0,1/21/2026,Accident,Mechanical Construction Equipment,0,1,Manhattan,10010.0,40.733824,-73.97734,106.0,4.0,1009780001.0,60.0,MN0601,29.0,29.0,29.0,1.0,-6.9,0.0,18.8
1086331.0,5/15/2024,Accident,Worker Fell,0,1,Manhattan,10004.0,40.692552,-74.016281,101.0,1.0,1000010111.0,5.0,MN0191,14.0,14.0,14.0,1.0,15.7,6.8,26.0
1084612.0,3/29/2024,Accident,Worker Fell,0,1,Manhattan,10002.0,40.71299,-73.994939,103.0,1.0,1002800015.0,8.0,MN0301,4.0,4.0,4.0,1.0,7.4,0.4,34.5
1091791.0,6/16/2025,Accident,Worker Fell,1,1,Manhattan,11201.0,40.7477930416181,-74.10497450857747,207.0,11.0,3049950026.0,79.0,MN0502,11.0,3.0,1.0,1.0,21.676062258033895,0.23069654832499492,25.3066288898694
1077363.0,10/26/2024,Accident,Material Failure (Fell),0,1,Manhattan,10019.0,40.762495,-73.975193,105.0,4.0,1012710038.0,104.0,MN0502,147.0,147.0,147.0,0.0,13.4,0.0,24.6
1028168.0,11/14/2025,Accident,Other Construction Related,1,2,Staten Island,11217.0,40.59072941415254,-74.10865929850833,306.0,33.0,4002660027.0,575.0,MN0401,24.0,2.0,6.0,0.0,13.469119416608258,6.293336688128231,11.326504707736031
1001215.0,10/1/2025,Accident,Other Construction Related,0,1,Manhattan,10038.0,40.709639,-74.008325,101.0,1.0,1000797503.0,1502.0,MN0101,45.0,45.0,45.0,1.0,16.3,0.0,14.4
3061688.0,8/24/2025,Incident,Other Construction Related,0,0,Brooklyn,11249.0,40.719298,-73.957092,301.0,33.0,3023040032.0,517.0,BK0102,1.0,1.0,1.0,1.0,22.7,0.6,17.2
2014932.0,8/9/2024,Accident,Other Construction Related,0,1,Bronx,10468.0,40.861175,-73.908825,207.0,14.0,2032250077.0,255.0,BX0701,4.0,4.0,4.0,0.0,24.7,16.7,44.7
3345008.0,5/29/2024,Accident,Mechanical Construction Equipment,0,1,Brooklyn,11206.0,40.708974,-73.941524,301.0,34.0,3030270001.0,49301.0,BK0104,1.0,1.0,1.0,1.0,18.9,11.4,15.4
4624500.0,4/19/2024,Accident,Worker Fell,0,1,Queens,11435.0,40.697107,-73.805657,412.0,27.0,4100300006.0,208.0,QN1201,5.0,5.0,5.0,0.0,8.2,0.0,20.7
1085486.0,7/18/2025,Accident,Struck By,1,0,Manhattan,10467.0,40.75931229190797,-73.99715488687123,316.0,44.0,4019180090.0,94.0,BX0501,39.0,9.0,5.0,0.0,16.393717579039617,0.5418132293650699,20.103968895749638
3330085.0,12/3/2024,Accident,Worker Fell,0,1,Brooklyn,11222.0,40.726245,-73.958095,301.0,33.0,3025890001.0,561.0,BK0101,2.0,2.0,2.0,0.0,0.7,0.1,10.4
3338398.0,4/2/2024,Accident,Material Failure (Fell),0,1,Brooklyn,11206.0,40.711095,-73.941645,301.0,34.0,3030270001.0,49301.0,BK0104,3.0,3.0,3.0,0.0,7.5,18.8,22.8
1078533.0,12/2/2024,Accident,Material Failure (Fell),1,0,Staten Island,11101.0,40.65699007402953,-74.04612349798319,401.0,5.0,3010420012.0,1903.0,BK0301,49.0,3.0,6.0,1.0,1.232222769884613,3.085276989494403,22.044164178793363
1000863.0,9/19/2025,Accident,Other Construction Related,0,1,Manhattan,10005.0,40.704275,-74.008681,101.0,1.0,1000330001.0,7.0,MN0101,56.0,56.0,56.0,0.0,22.6,0.0,11.1
1078533.0,6/7/2024,Accident,Worker Fell,1,0,Bronx,11219.0,40.64272378932715,-73.91079227924531,105.0,33.0,4049600029.0,299.0,BK0902,14.0,5.0,3.0,0.0,30.699756245333788,10.38370196558518,22.7255297345572
3429652.0,12/12/2024,Accident,Other Construction Related,0,1,Brooklyn,11221.0,40.693039,-73.909199,304.0,37.0,,437.0,BK0402,1.0,1.0,1.0,1.0,2.0,0.1,25.2
3429584.0,2/21/2024,Accident,Other Construction Related,1,0,Brooklyn,10452.0,40.86703772469118,-74.0120747331984,202.0,7.0,3060580012.0,140.0,MN0502,44.0,3.0,6.0,1.0,1.1754530111761579,0.10335819741096423,21.7871123713274
3335795.0,2/3/2024,Accident,Other Construction Related,0,1,Brooklyn,11249.0,40.712706,-73.967694,301.0,33.0,3024147502.0,551.0,BK0102,1.0,1.0,1.0,1.0,1.1,0.0,27.0
3018646.0,6/24/2025,Accident,Other Construction Related,0,1,Brooklyn,11217.0,40.681608,-73.980192,306.0,39.0,3009340007.0,12901.0,BK0602,1.0,1.0,1.0,0.0,34.5,0.0,15.6
2003566.0,10/27/2025,Accident,Mechanical Construction Equipment,0,1,Bronx,10452.0,40.84309,-73.923798,204.0,16.0,2025360029.0,201.0,BX0402,1.0,1.0,1.0,1.0,8.8,0.0,11.0
3073409.0,10/10/2024,Incident,Scaffold/Shoring Installations,0,0,Brooklyn,11221.0,40.69798,-73.926326,304.0,34.0,3032280025.0,423.0,BK0401,2.0,2.0,2.0,0.0,12.5,0.0,23.2
1091010.0,1/8/2024,Accident,Material Failure (Fell),0,1,Manhattan,10017.0,40.755641,-73.975109,105.0,4.0,1012830021.0,94.0,MN0502,92.0,92.0,92.0,0.0,0.7,0.0,17.3
1036511.0,4/10/2024,Accident,Material Failure (Fell),0,1,Manhattan,10022.0,40.759812,-73.969957,105.0,4.0,1013100014.0,100.0,MN0604,2.0,2.0,2.0,0.0,12.1,0.1,16.1
4047330.0,10/28/2024,Accident,Worker Fell,0,1,Queens,11368.0,40.735687,-73.859814,404.0,21.0,4019180090.0,455.0,QN0402,4.0,4.0,4.0,0.0,9.6,0.0,15.5
1000863.0,1/22/2026,Accident,Worker Fell,1,1,Manhattan,11215.0,40.679770963949096,-73.81081806114933,108.0,13.0,2030220054.0,455.0,BK0801,13.0,2.0,3.0,0.0,7.820346553622356,1.9602865538267682,30.126461894746342
3076634.0,11/21/2025,Accident,Other Construction Related,1,2,Queens,11101.0,40.640407572598235,-74.22892450471417,306.0,4.0,3026000031.0,1902.0,MN0502,33.0,4.0,1.0,1.0,15.714001974620118,5.23028286589833,18.89378426955906
4624423.0,9/4/2025,Accident,Worker Fell,1,2,Bronx,10021.0,40.5797280927538,-73.85508329728478,306.0,35.0,3011540024.0,13301.0,BX0802,47.0,1.0,6.0,1.0,27.386835611671255,2.2800452694123825,27.72694803193646
1038655.0,1/15/2024,Accident,Mechanical Construction Equipment,0,1,Manhattan,10017.0,40.748545,-73.970799,106.0,4.0,1013340022.0,88.0,MN0603,39.0,39.0,39.0,1.0,-3.5,0.8,11.9
1090627.0,12/24/2024,Incident,Other Construction Related,0,0,Manhattan,10018.0,40.751762,-73.98657,105.0,4.0,1008120045.0,109.0,MN0502,5.0,5.0,5.0,0.0,-1.7,1.9,10.5
3816613.0,3/22/2024,Accident,Worker Fell,0,1,Brooklyn,11212.0,40.671537,-73.907191,316.0,37.0,3036920001.0,908.0,BK1602,1.0,1.0,1.0,1.0,0.7,0.0,20.3
1036892.0,1/19/2024,Accident,Mechanical Construction Equipment,0,1,Manhattan,10022.0,40.761118,-73.969609,105.0,4.0,1013110013.0,11203.0,MN0604,5.0,5.0,5.0,0.0,-2.3,2.4,17.1
1028235.0,11/18/2025,Notification,Other Construction Related,0,1,Manhattan,10023.0,40.773911,-73.981334,107.0,6.0,1011190061.0,15301.0,MN0701,37.0,37.0,37.0,0.0,4.4,0.0,16.0
1091054.0,12/2/2024,Accident,Worker Fell,0,1,Manhattan,10027.0,40.808523,-73.947278,110.0,9.0,1019090009.0,222.0,MN1001,1.0,1.0,1.0,0.0,0.1,0.0,10.3
1051954.0,10/29/2025,Accident,Mechanical Construction Equipment,0,1,Manhattan,10029.0,40.791797,-73.948703,111.0,8.0,1016320001.0,166.0,MN1101,9.0,9.0,9.0,0.0,10.8,0.0,18.3
3428908.0,1/23/2026,Incident,Scaffold/Shoring Installations,0,0,Brooklyn,11219.0,40.639699,-73.996818,312.0,38.0,3056200040.0,114.0,BK1201,4.0,4.0,4.0,1.0,0.4,0.0,31.6
3429214.0,5/13/2024,Accident,Material Failure (Fell),0,1,Brooklyn,11213.0,40.672347,-73.946733,308.0,36.0,3012427501.0,341.0,BK0802,14.0,14.0,14.0,1.0,12.6,0.1,26.8
3429781.0,10/28/2025,Accident,Worker Fell,0,4,Brooklyn,11220.0,40.63427,-74.010848,310.0,38.0,3057940075.0,118.0,BK0703,6.0,6.0,6.0,1.0,9.7,0.0,23.5
2045727.0,9/3/2024,Accident,Other Construction Related,0,1,Bronx,10461.0,40.841827,-73.842073,211.0,13.0,2041340001.0,284.0,BX1161,6.0,6.0,6.0,1.0,17.8,0.0,15.7
1091738.0,6/10/2024,Accident,Material Failure (Fell),1,1,Brooklyn,10014.0,40.82871639808554,-73.9685108674923,401.0,26.0,3021340001.0,455.0,QN1402,24.0,6.0,4.0,0.0,15.119022843138573,1.5391049799782122,22.894008751111837
4625349.0,7/21/2025,Accident,Worker Fell,0,1,Queens,11694.0,40.578698,-73.83655,414.0,32.0,4161880028.0,938.0,QN1403,8.0,8.0,8.0,0.0,26.4,3.1,13.2
4623202.0,2/20/2024,Accident,Worker Fell,0,1,Queens,11105.0,40.780061,-73.901942,401.0,22.0,4008140010.0,10701.0,QN0101,16.0,16.0,16.0,0.0,-2.5,0.0,12.0
4005002.0,11/25/2025,Accident,Material Failure (Fell),1,2,Manhattan,11231.0,40.84808757297504,-74.18500346894864,306.0,34.0,2033000073.0,61.0,MN0203,9.0,1.0,8.0,1.0,20.7495762242268,1.0577917677408846,7.83995699397258
1038656.0,10/22/2025,Accident,Struck By,1,0,Queens,11237.0,40.75347451456751,-73.81782183164367,315.0,33.0,3023040032.0,367.0,MN0801,17.0,1.0,4.0,1.0,14.154556471442374,1.2799280682226748,16.199977990879482
1091738.0,2/5/2024,Accident,Other Construction Related,0,1,Manhattan,10002.0,40.721627,-73.984307,103.0,2.0,1003977503.0,3002.0,MN0303,1.0,1.0,1.0,1.0,0.9,0.0,28.2
3429272.0,5/28/2025,Accident,Worker Fell,1,2,Bronx,10010.0,40.5233172358549,-74.05891508082033,108.0,39.0,3001497503.0,871.0,MN0903,1.0,1.0,4.0,0.0,13.384410002365463,3.0380484989923797,18.55700274445709
3061068.0,9/5/2024,Accident,Worker Fell,0,1,Brooklyn,11211.0,40.705427,-73.951825,301.0,33.0,3022280016.0,529.0,BK0103,2.0,2.0,2.0,0.0,19.1,0.0,22.0
1061930.0,7/29/2025,Accident,Worker Fell,0,1,Manhattan,10031.0,40.825678,-73.948637,109.0,7.0,1020770010.0,229.0,MN0903,1.0,1.0,1.0,1.0,32.3,0.0,8.1
4624047.0,2/14/2024,Accident,Worker Fell,0,1,Queens,11101.0,40.741194,-73.953794,402.0,26.0,,104.0,QN0201,,,,,-1.8,0.0,28.7
3000370.0,2/6/2024,Accident,Other Construction Related,0,1,Brooklyn,11201.0,40.689985,-73.98254,302.0,33.0,3001497503.0,1502.0,BK0202,62.0,62.0,62.0,1.0,-0.3,0.0,17.8
1083810.0,11/18/2025,Accident,Other Construction Related,0,1,Manhattan,10028.0,40.778633,-73.962546,164.0,6.0,1011110001.0,143.0,MN6491,108.0,108.0,108.0,0.0,4.6,0.0,14.2
1046667.0,1/17/2024,Accident,Material Failure (Fell),0,1,Manhattan,10028.0,40.777826,-73.961041,108.0,4.0,1014930014.0,142.0,MN0802,6.0,6.0,6.0,0.0,-6.5,0.0,23.9
3048468.0,7/23/2025,Incident,Other Construction Related,0,0,Brooklyn,11205.0,40.695423,-73.95353,303.0,33.0,3017360034.0,1237.0,BK0301,1.0,1.0,1.0,1.0,24.4,0.0,15.0
1045571.0,10/31/2024,Notification,Other Construction Related,0,1,Manhattan,10065.0,40.763195,-73.956429,108.0,5.0,1014610021.0,116.0,MN0801,33.0,33.0,33.0,1.0,19.7,0.0,20.4
2817041.0,6/14/2024,Accident,Worker Fell,0,1,Bronx,10456.0,40.826343,-73.909635,203.0,16.0,2023690010.0,18501.0,BX0301,8.0,8.0,8.0,1.0,22.9,9.3,15.8
3429855.0,10/15/2024,Notification,Other Construction Related,0,1,Brooklyn,11212.0,40.669906,-73.913755,316.0,41.0,,902.0,BK1602,1.0,1.0,1.0,1.0,10.0,0.0,22.7
3429828.0,8/4/2025,Accident,Other Construction Related,1,1,Manhattan,11217.0,40.56294838938291,-74.17883038939995,312.0,29.0,1000787511.0,153.0,MN0803,2.0,8.0,8.0,0.0,32.16379245571051,1.5096874444856971,16.90914671802793
1000042.0,1/15/2026,Not DOB Jurisdiction,Worker Fell,0,1,Manhattan,10004.0,40.704294,-74.013237,101.0,1.0,1000120001.0,9.0,MN0101,1.0,1.0,1.0,0.0,2.4,0.1,19.7
3429743.0,7/5/2024,Accident,Worker Fell,0,1,Brooklyn,11231.0,40.679018,-73.990179,306.0,39.0,3004450001.0,75.0,BK0601,31.0,31.0,31.0,1.0,25.6,0.7,20.2
1036085.0,7/8/2024,Accident,Other Construction Related,1,0,Queens,10011.0,40.785611463450515,-73.86414132589191,412.0,16.0,2022600010.0,409.0,MN1203,10.0,5.0,7.0,1.0,6.989170651119529,3.4310669510936034,25.345323823718484
1091010.0,2/27/2025,Accident,Worker Fell,0,1,Manhattan,10017.0,40.755641,-73.975109,105.0,4.0,1012830021.0,94.0,MN0502,92.0,92.0,92.0,0.0,8.0,1.8,13.3
1091745.0,3/9/2025,Notification,Other Construction Related,0,0,Manhattan,10014.0,40.729793,-74.010297,102.0,3.0,1005967502.0,69.0,MN0203,,,,,3.7,0.0,24.4
3333398.0,9/30/2025,Notification,Other Construction Related,0,0,Brooklyn,11212.0,40.66759,-73.90719,316.0,41.0,3035260021.0,906.0,BK1602,7.0,7.0,7.0,0.0,20.7,0.0,11.6
1084771.0,7/31/2025,Accident,Worker Fell,0,1,Manhattan,10022.0,40.756648,-73.974358,105.0,4.0,1013047501.0,100.0,MN0604,138.0,138.0,138.0,1.0,25.9,8.0,16.5
1037552.0,3/26/2024,Accident,Material Failure (Fell),1,1,Manhattan,10001.0,40.57641397070373,-74.12493713511753,202.0,40.0,4026810001.0,387.0,BK0901,15.0,3.0,7.0,1.0,-0.12166336645059594,2.997957477172308,25.28971951526089
3058411.0,1/5/2024,Accident,Worker Fell,0,1,Brooklyn,11201.0,40.691903,-73.97827,302.0,35.0,3020880025.0,3101.0,BK0203,6.0,6.0,6.0,1.0,-1.6,0.0,26.0
2116550.0,5/6/2025,Accident,Worker Fell,0,1,Bronx,10455.0,40.817675,-73.902461,201.0,17.0,2026760079.0,79.0,BX0102,12.0,12.0,12.0,1.0,15.9,21.3,15.1
3023674.0,5/17/2024,Incident,Other Construction Related,0,0,Brooklyn,11215.0,40.66595,-73.990084,306.0,38.0,3010417501.0,14101.0,BK0602,33.0,33.0,33.0,1.0,17.0,0.0,18.7
3058215.0,3/21/2024,Incident,Scaffold/Shoring Installations,0,1,Brooklyn,11201.0,40.695332,-73.982413,302.0,35.0,3020500100.0,1501.0,BK0202,12.0,12.0,12.0,1.0,0.0,0.0,31.9
4437366.0,7/9/2024,Accident,Other Construction Related,0,1,Queens,11377.0,40.738775,-73.917667,402.0,26.0,4022920007.0,23501.0,QN0202,2.0,2.0,2.0,0.0,26.4,0.3,23.7
3044052.0,3/19/2024,Accident,Other Construction Related,0,2,Brooklyn,11221.0,40.690316,-73.933532,303.0,36.0,3016200045.0,291.0,BK0302,2.0,2.0,2.0,0.0,3.6,0.4,28.5
3424473.0,10/23/2025,Incident,Scaffold/Shoring Installations,0,0,Brooklyn,11217.0,40.687257,-73.981571,302.0,33.0,3001677501.0,37.0,BK0202,5.0,5.0,5.0,1.0,12.0,0.1,17.3
3009621.0,4/10/2025,Accident,Mechanical Construction Equipment,0,1,Brooklyn,11232.0,40.659028,-73.995852,307.0,38.0,3006550031.0,101.0,BK0702,2.0,2.0,2.0,0.0,5.5,0.6,17.5
1036443.0,3/20/2025,Accident,Worker Fell,0,1,Manhattan,10017.0,40.75564,-73.97225,106.0,4.0,1013040026.0,100.0,MN0604,6.0,6.0,6.0,1.0,7.8,7.9,15.0
3058215.0,10/31/2024,Accident,Other Construction Related,0,1,Brooklyn,11201.0,40.695332,-73.982413,302.0,35.0,3020500100.0,1501.0,BK0202,9.0,9.0,9.0,0.0,19.6,0.0,23.8
3192870.0,5/1/2025,Accident,Other Construction Related,0,1,Brooklyn,11223.0,40.597532,-73.96815,315.0,44.0,3071300006.0,396.0,BK1501,,,,,13.9,0.0,18.2
4007096.0,5/5/2025,Accident,Material Failure (Fell),1,1,Staten Island,10468.0,40.64077460655736,-73.83156345853473,212.0,15.0,3048880033.0,9903.0,MN0501,17.0,3.0,1.0,1.0,12.798481338037405,0.9274507072379623,36.08596922113992
3058677.0,3/13/2025,Incident,Other Construction Related,0,0,Brooklyn,11217.0,40.688445,-73.977684,302.0,35.0,3020960055.0,33.0,BK0203,1.0,1.0,1.0,1.0,5.8,0.0,13.2
2014932.0,3/12/2025,Accident,Other Construction Related,0,1,Bronx,10468.0,40.861175,-73.908825,207.0,14.0,2032250077.0,255.0,BX0701,1.0,1.0,1.0,1.0,7.5,0.0,13.5
2003155.0,1/30/2025,Accident,Material Failure (Fell),0,1,Bronx,10452.0,40.83554,-73.924681,204.0,16.0,2025090061.0,199.0,BX0402,1.0,1.0,1.0,1.0,-2.1,0.0,15.8
2120979.0,9/4/2025,Accident,Other Construction Related,0,1,Bronx,10473.0,40.824029,-73.843362,209.0,18.0,2037020049.0,98.0,BX0903,4.0,4.0,4.0,0.0,21.2,1.7,21.2
3396710.0,3/25/2025,Accident,Worker Fell,0,1,Brooklyn,11220.0,40.646326,-74.02142,307.0,38.0,3008360019.0,22.0,BK0702,,,,,9.4,0.0,26.5
3029709.0,3/14/2024,Accident,Material Failure (Fell),0,1,Brooklyn,11225.0,40.668183,-73.959685,309.0,35.0,3011880058.0,213.0,BK0901,3.0,3.0,3.0,1.0,10.8,0.0,16.4
1081163.0,9/30/2024,Accident,Worker Fell,0,1,Manhattan,10022.0,40.760465,-73.970151,105.0,4.0,1013100063.0,100.0,MN0604,63.0,63.0,63.0,0.0,18.1,0.0,18.8
1086331.0,4/10/2024,Accident,Worker Fell,0,1,Manhattan,10004.0,40.692552,-74.016281,101.0,1.0,1000010111.0,5.0,MN0191,14.0,14.0,14.0,1.0,12.2,0.6,16.6
3059755.0,1/31/2025,Incident,Other Construction Related,0,0,Brooklyn,11211.0,40.707625,-73.956963,301.0,34.0,3021520002.0,529.0,BK0103,3.0,3.0,3.0,1.0,5.1,10.9,15.6
1087280.0,10/29/2025,Accident,Worker Fell,0,1,Manhattan,10014.0,40.738137,-74.009191,102.0,3.0,1006410005.0,79.0,MN0203,1.0,1.0,1.0,0.0,10.4,0.1,16.7
1084476.0,11/10/2025,Accident,Worker Fell,0,1,Manhattan,10027.0,40.809752,-73.960217,109.0,7.0,1019730001.0,203.0,MN0901,6.0,6.0,6.0,0.0,9.9,13.2,17.5
1083025.0,2/24/2025,Accident,Worker Fell,0,1,Manhattan,10023.0,40.775674,-73.987504,107.0,6.0,1011717514.0,15102.0,MN0701,32.0,32.0,32.0,0.0,3.4,0.0,17.5
3000605.0,2/12/2024,Accident,Mechanical Construction Equipment,0,1,Brooklyn,11201.0,40.688896,-73.989969,302.0,33.0,3001750001.0,43.0,BK0202,45.0,45.0,45.0,0.0,3.8,0.0,11.4
1016278.0,10/29/2025,Accident,Worker Fell,0,1,Manhattan,10010.0,40.741132,-73.98987,105.0,3.0,1008510001.0,56.0,MN0501,47.0,47.0,47.0,0.0,10.4,0.1,16.7
1017107.0,12/13/2024,Accident,Mechanical Construction Equipment,1,1,Manhattan,10016.0,40.748248,-73.982056,106.0,4.0,1008640047.0,74.0,MN0501,16.0,16.0,16.0,0.0,-2.4,0.0,11.3
1079064.0,9/24/2025,Accident,Worker Fell,0,1,Manhattan,10038.0,40.708988,-74.007654,101.0,1.0,1000787511.0,1502.0,MN0101,18.0,18.0,18.0,0.0,21.9,3.0,16.9
1014759.0,7/14/2025,Accident,Worker Fell,0,1,Manhattan,10011.0,40.742151,-73.99502,104.0,3.0,1007960063.0,87.0,MN0401,7.0,7.0,7.0,0.0,26.0,17.5,13.7
4618910.0,10/25/2024,Accident,Worker Fell,0,1,Queens,11354.0,40.76438,-73.828871,407.0,20.0,4049600029.0,869.0,QN0707,9.0,9.0,9.0,0.0,11.6,0.0,16.3
1001245.0,12/15/2025,Accident,Other Construction Related,0,1,Manhattan,10038.0,40.711313,-74.008661,101.0,1.0,1000890012.0,1501.0,MN0101,210.0,210.0,210.0,0.0,-6.2,0.0,18.1
4209632.0,8/13/2024,Accident,Worker Fell,0,1,Queens,11432.0,40.707675,-73.793344,412.0,27.0,4097960063.0,460.0,QN1201,8.0,8.0,8.0,1.0,21.4,0.0,13.7
1035371.0,12/30/2024,Accident,Other Construction Related,0,1,Manhattan,10017.0,40.754253,-73.97821,105.0,4.0,1012790023.0,94.0,MN0502,4.0,4.0,4.0,0.0,11.5,5.9,25.4
3429452.0,8/5/2024,Incident,Other Construction Related,0,0,Brooklyn,11203.0,40.659935,-73.931266,309.0,41.0,3046030001.0,878.0,BK1703,8.0,8.0,8.0,0.0,26.4,0.0,23.2
3429285.0,6/8/2024,Incident,Other Construction Related,0,0,Brooklyn,11236.0,40.644677,-73.910933,318.0,42.0,3079680043.0,962.0,BK1803,1.0,1.0,1.0,0.0,20.5,0.0,28.4
1091745.0,7/12/2025,Accident,Material Failure (Fell),0,1,Manhattan,10014.0,40.729793,-74.010297,102.0,3.0,1005967502.0,69.0,MN0203,1.0,1.0,1.0,1.0,25.5,0.2,13.2
