fatality,injury,latitude,longitude,permit_count,unique_job_types,unique_work_types,residential_any,temperature,rainfall,wind_speed,weighted_fatality_index,is_repeat_site,day_incident_pct,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,check2 description_Material Failure (Fell),check2 description_Mechanical Construction Equipment,check2 description_Other Construction Related,check2 description_Scaffold/Shoring Installations,check2 description_Struck By,check2 description_Worker Fell,record type description_Incident,record type description_Not DOB Jurisdiction,record type description_Notification
0,1,40.726245,-73.958095,2,2,2,0,0,0,10,0,1,17,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.711095,-73.941645,3,3,3,0,7,18,22,0,0,17,1,0,0,0,1,0,0,0,0,0,0,0,0
1,0,40.65699007402953,-74.04612349798319,49,3,6,1,1,3,22,1,1,19,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1,40.704275,-74.008681,56,56,56,0,22,0,11,0,1,18,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,40.64272378932715,-73.91079227924531,14,5,3,0,30,10,22,1,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.693039,-73.909199,1,1,1,1,2,0,25,0,1,19,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,40.86703772469118,-74.0120747331984,44,3,6,1,1,0,21,1,1,18,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.712706,-73.967694,1,1,1,1,1,0,27,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.681608,-73.980192,1,1,1,0,34,0,15,0,0,17,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.84309,-73.923798,1,1,1,1,8,0,11,0,1,19,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,40.69798,-73.926326,2,2,2,0,12,0,23,0,0,19,1,0,0,0,0,0,0,1,0,0,1,0,0
0,1,40.755641,-73.975109,92,92,92,0,0,0,17,0,1,19,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,40.759812,-73.969957,2,2,2,0,12,0,16,0,1,18,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,40.735687,-73.859814,4,4,4,0,9,0,15,0,1,19,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1,40.679770963949096,-73.81081806114933,13,2,3,0,7,1,30,1,1,19,0,1,0,0,0,0,0,0,0,1,0,0,0
1,2,40.64040757259824,-74.22892450471417,33,4,1,1,15,5,18,2,1,18,0,0,1,0,0,0,1,0,0,0,0,0,0
1,2,40.5797280927538,-73.85508329728478,47,1,6,1,27,2,27,2,1,19,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.748545,-73.970799,39,39,39,1,-3,0,11,0,0,19,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,40.751762,-73.98657,5,5,5,0,-1,1,10,0,1,17,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1,40.671537,-73.907191,1,1,1,1,0,0,20,0,1,18,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.761118,-73.969609,5,5,5,0,-2,2,17,0,0,18,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,40.773911,-73.981334,37,37,37,0,4,0,16,0,1,17,0,1,0,0,0,0,1,0,0,0,0,0,1
0,1,40.808523,-73.947278,1,1,1,0,0,0,10,0,0,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.791797,-73.948703,9,9,9,0,10,0,18,0,0,18,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,40.639699,-73.996818,4,4,4,1,0,0,31,0,0,18,1,0,0,0,0,0,0,1,0,0,1,0,0
0,1,40.672347,-73.946733,14,14,14,1,12,0,26,0,1,19,1,0,0,0,1,0,0,0,0,0,0,0,0
0,4,40.63427,-74.010848,6,6,6,1,9,0,23,2,1,17,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.841827,-73.842073,6,6,6,1,17,0,15,0,1,17,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,40.82871639808554,-73.9685108674923,24,6,4,0,15,1,22,1,1,19,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,40.578698,-73.83655,8,8,8,0,26,3,13,0,1,19,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,40.780061,-73.901942,16,16,16,0,-2,0,12,0,1,17,0,0,1,0,0,0,0,0,0,1,0,0,0
1,2,40.84808757297504,-74.18500346894864,9,1,8,1,20,1,7,2,1,17,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,40.75347451456751,-73.81782183164367,17,1,4,1,14,1,16,1,1,18,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,40.721627,-73.984307,1,1,1,1,0,0,28,0,1,19,0,1,0,0,0,0,1,0,0,0,0,0,0
1,2,40.5233172358549,-74.05891508082033,1,1,4,0,13,3,18,2,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.705427,-73.951825,2,2,2,0,19,0,22,0,1,19,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.825678,-73.948637,1,1,1,1,32,0,8,0,0,17,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.741194,-73.953794,9,7,7,0,-1,0,28,0,0,18,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,40.689985,-73.98254,62,62,62,1,0,0,17,0,1,17,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.778633,-73.962546,108,108,108,0,4,0,14,0,1,17,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,40.777826,-73.961041,6,6,6,0,-6,0,23,0,0,18,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,40.695423,-73.95353,1,1,1,1,24,0,15,0,1,18,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,40.763195,-73.956429,33,33,33,1,19,0,20,0,0,19,0,1,0,0,0,0,1,0,0,0,0,0,1
0,1,40.826343,-73.909635,8,8,8,1,22,9,15,0,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.669906,-73.913755,1,1,1,1,10,0,22,0,1,17,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,40.56294838938291,-74.17883038939995,2,8,8,0,32,1,16,1,1,19,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,40.704294,-74.013237,1,1,1,0,2,0,19,0,0,19,0,1,0,0,0,0,0,0,0,1,0,1,0
0,1,40.679018,-73.990179,31,31,31,1,25,0,20,0,1,18,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,40.78561146345052,-73.86414132589191,10,5,7,1,6,3,25,1,1,19,0,0,1,0,0,0,1,0,0,0,0,0,0
0,1,40.755641,-73.975109,92,92,92,0,8,1,13,0,1,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,40.729793,-74.010297,9,7,7,0,3,0,24,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1
0,0,40.66759,-73.90719,7,7,7,0,20,0,11,0,0,17,1,0,0,0,0,0,1,0,0,0,0,0,1
0,1,40.756648,-73.974358,138,138,138,1,25,8,16,0,1,19,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1,40.57641397070373,-74.12493713511753,15,3,7,1,0,2,25,1,1,17,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,40.691903,-73.97827,6,6,6,1,-1,0,26,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.817675,-73.902461,12,12,12,1,15,21,15,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,40.66595,-73.990084,33,33,33,1,17,0,18,0,1,18,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,40.695332,-73.982413,12,12,12,1,0,0,31,0,1,19,1,0,0,0,0,0,0,1,0,0,1,0,0
0,1,40.738775,-73.917667,2,2,2,0,26,0,23,0,1,17,0,0,1,0,0,0,1,0,0,0,0,0,0
0,2,40.690316,-73.933532,2,2,2,0,3,0,28,1,0,17,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,40.687257,-73.981571,5,5,5,1,12,0,17,0,1,19,1,0,0,0,0,0,0,1,0,0,1,0,0
0,1,40.659028,-73.995852,2,2,2,0,5,0,17,0,1,19,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,40.75564,-73.97225,6,6,6,1,7,7,15,0,0,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.695332,-73.982413,9,9,9,0,19,0,23,0,1,19,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.597532,-73.96815,9,7,7,0,13,0,18,0,0,19,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,40.64077460655736,-73.83156345853473,17,3,1,1,12,0,36,1,1,19,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,40.688445,-73.977684,1,1,1,1,5,0,13,0,0,19,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,40.861175,-73.908825,1,1,1,1,7,0,13,0,1,18,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.83554,-73.924681,1,1,1,1,-2,0,15,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,40.824029,-73.843362,4,4,4,0,21,1,21,0,1,19,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.646326,-74.02142,9,7,7,0,9,0,26,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.668183,-73.959685,3,3,3,1,10,0,16,0,0,19,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,40.760465,-73.970151,63,63,63,0,18,0,18,0,0,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.692552,-74.016281,14,14,14,1,12,0,16,0,1,18,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,40.707625,-73.956963,3,3,3,1,5,10,15,0,1,18,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,40.738137,-74.009191,1,1,1,0,10,0,16,0,0,18,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.809752,-73.960217,6,6,6,0,9,13,17,0,1,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.775674,-73.987504,32,32,32,0,3,0,17,0,0,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.688896,-73.989969,45,45,45,0,3,0,11,0,1,19,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,40.741132,-73.98987,47,47,47,0,10,0,16,0,0,18,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1,40.748248,-73.982056,16,16,16,0,-2,0,11,1,0,18,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,40.708988,-74.007654,18,18,18,0,21,3,16,0,0,18,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.742151,-73.99502,7,7,7,0,26,17,13,0,0,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.76438,-73.828871,9,9,9,0,11,0,16,0,1,18,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,40.711313,-74.008661,210,210,210,0,-6,0,18,0,1,19,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,40.707675,-73.793344,8,8,8,1,21,0,13,0,1,17,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,40.754253,-73.97821,4,4,4,0,11,5,25,0,1,19,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,40.659935,-73.931266,8,8,8,0,26,0,23,0,1,19,1,0,0,0,0,0,1,0,0,0,1,0,0
0,0,40.644677,-73.910933,1,1,1,0,20,0,28,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,40.729793,-74.010297,1,1,1,1,25,0,13,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0
1,2,40.7365620831889,-73.81624815697617,45,3,9,1,10,5,28,2,1,18,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,40.66908461947462,-73.93854373753216,5,4,8,1,10,2,20,1,1,18,0,0,1,0,0,0,1,0,0,0,0,0,0
0,1,40.764727,-73.978142,1,1,1,1,0,0,23,0,0,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.867778,-73.894581,3,3,3,1,22,0,17,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.885338,-73.8943,2,2,2,0,17,0,11,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.755446,-74.00222,16,16,16,0,24,0,14,0,0,19,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,40.73485,-73.999275,1,1,1,0,-10,0,15,0,0,18,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1,40.875953,-73.86197,43,43,43,0,13,0,17,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,40.738775,-73.917667,2,2,2,0,12,0,19,0,1,18,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,40.645207,-74.013906,13,13,13,0,21,0,31,0,1,18,1,0,0,0,0,0,1,0,0,0,1,0,0
0,0,40.595917,-73.929373,1,1,1,1,5,0,14,0,0,19,1,0,0,0,0,0,1,0,0,0,1,0,0
1,2,40.65491879253052,-74.1952867017967,16,8,3,1,25,3,24,2,1,19,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.688566,-73.980045,12,12,12,1,27,0,32,0,1,18,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.679018,-73.990179,12,12,12,1,22,0,26,0,1,19,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.671537,-73.907191,1,1,1,1,10,0,21,0,1,18,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.729793,-74.010297,1,1,1,1,5,0,10,0,1,19,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,40.768668,-73.995404,14,14,14,0,32,0,10,0,1,17,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,40.692459,-73.990491,29,29,29,0,20,1,19,0,0,18,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.823118,-73.917512,5,5,5,1,13,1,29,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,40.786594,-73.976488,8,8,8,1,17,0,23,0,1,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,40.708173,-74.006464,42,42,42,1,24,3,8,0,0,17,0,1,0,0,0,0,0,1,0,0,1,0,0
0,1,40.582462,-73.827994,9,7,7,0,8,2,17,0,0,19,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,40.750555,-73.942664,1,1,1,1,3,29,60,0,1,17,0,0,1,0,1,0,0,0,0,0,0,0,1
0,1,40.67268,-73.986791,1,1,1,0,8,0,28,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,40.632598,-73.983874,1,1,1,0,21,12,23,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,40.75078090207565,-73.79358637389865,12,4,4,0,15,0,23,1,1,17,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,40.814603,-73.938039,42,42,42,0,25,14,20,0,1,18,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,40.56806860886984,-73.76519814726727,10,9,1,0,19,3,9,1,1,18,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1,40.805223,-73.885975,2,2,2,0,15,7,25,0,1,18,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,40.81764278159475,-74.04189932770369,22,7,5,0,7,0,0,1,1,18,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.756726,-73.841343,17,17,17,1,24,2,20,0,1,18,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,40.655503,-73.948826,9,7,7,0,-12,0,15,0,0,18,1,0,0,0,0,0,0,0,0,1,1,0,0
0,0,40.667437,-73.90821,11,11,11,1,24,3,21,0,0,19,1,0,0,0,1,0,0,0,0,0,1,0,0
0,0,40.688422,-73.974846,3,3,3,1,26,0,15,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,40.689883,-73.979793,15,15,15,0,0,0,20,0,1,19,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.826343,-73.909635,1,1,1,1,25,0,29,0,1,17,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.761118,-73.969609,59,59,59,0,27,0,12,0,1,18,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.668292,-73.796008,11,11,11,1,0,0,22,0,0,19,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,40.755641,-73.975109,92,92,92,0,24,0,14,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,40.72091648036594,-74.19279189910836,16,8,4,0,2,14,17,1,1,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.740581,-73.994504,9,9,9,0,8,6,22,0,0,17,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,40.7211632037111,-74.05462063938016,12,2,3,0,29,2,23,1,1,18,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,40.87143638022589,-73.92756403959481,3,3,5,1,17,1,25,1,1,18,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,40.680708,-73.985308,2,2,2,0,4,0,30,0,1,18,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,40.632397,-73.983211,1,1,1,0,1,0,14,0,0,18,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,40.692153,-73.910711,3,3,3,1,22,0,20,0,1,17,1,0,0,0,0,0,1,0,0,0,1,0,0
0,1,40.736996,-73.998138,10,10,10,1,7,19,20,0,1,17,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,40.831063,-73.920361,5,5,5,0,17,0,13,0,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.755626,-73.979336,35,35,35,0,25,0,13,0,0,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,40.819196,-73.950221,74,74,74,0,21,0,26,0,0,17,0,1,0,0,0,1,0,0,0,0,0,0,1
0,2,40.71374,-73.882304,1,1,1,1,16,11,12,1,0,19,0,0,1,0,0,0,1,0,0,0,0,0,0
0,1,40.695332,-73.982413,29,29,29,1,1,0,31,0,1,19,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.638609,-73.948086,1,1,1,1,11,5,17,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0,1
0,1,40.761193,-73.985478,13,13,13,0,15,7,24,0,1,19,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,40.714105,-73.957842,5,5,5,0,15,0,13,0,0,19,1,0,0,0,0,0,1,0,0,0,1,0,0
0,0,40.767349,-73.98435,41,41,41,0,-5,0,10,0,0,18,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1,40.763336,-73.961093,6,6,6,0,6,8,12,0,1,17,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.74817,-73.938805,34,34,34,0,22,0,27,0,1,17,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,40.759812,-73.969957,19,19,19,0,27,0,17,0,1,19,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1,40.782533,-73.952924,21,21,21,1,22,0,27,0,1,18,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.655503,-73.948826,2,2,2,0,12,0,33,0,1,18,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,40.753717,-73.99978,99,99,99,0,-11,0,11,0,0,18,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,40.750555,-73.942664,1,1,1,1,24,0,15,0,1,18,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1,40.69046270819847,-73.98429090671016,37,8,7,0,11,2,16,1,1,17,0,0,1,0,1,0,0,0,0,0,0,0,0
0,1,40.748247,-73.974347,22,22,22,1,19,6,17,0,1,18,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,40.674833,-74.003558,24,24,24,1,8,0,17,0,0,19,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.748247,-73.974347,22,22,22,1,25,9,21,0,1,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.764727,-73.978142,5,5,5,0,12,18,30,0,1,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,40.659121,-73.94754,2,2,2,0,2,0,15,0,0,19,1,0,0,0,0,0,1,0,0,0,1,0,0
1,0,40.56925437790255,-74.22604063410387,38,2,6,1,-4,1,30,1,1,17,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,40.715129,-73.966586,16,16,16,1,16,0,15,0,0,19,1,0,0,0,1,0,0,0,0,0,1,0,0
0,0,40.71819,-73.823091,25,25,25,1,29,2,13,0,0,18,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,40.755474,-73.994799,29,29,29,1,3,0,18,0,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1,40.864118,-73.916764,2,2,2,0,17,0,14,0,1,19,0,1,0,0,0,0,1,0,0,0,0,0,1
0,1,40.711313,-74.008661,210,210,210,0,10,0,17,0,1,19,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.776534,-73.956554,1,1,1,1,13,0,13,0,1,17,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,40.838458,-73.920338,7,7,7,0,-1,0,16,0,1,18,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.737806,-73.997922,6,6,6,0,13,1,32,0,0,18,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,40.709644,-73.94204,4,4,4,0,13,10,39,0,0,18,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,40.751719,-73.933283,6,6,6,0,24,0,24,0,1,17,0,0,1,0,0,1,0,0,0,0,1,0,0
0,1,40.705206,-73.79552,1,1,1,0,20,0,9,0,0,18,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1,40.59705,-73.970523,3,3,3,0,9,3,27,0,1,19,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,40.816951,-73.929876,5,5,5,0,24,0,10,0,1,19,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,40.842669,-73.925696,2,2,2,0,14,6,21,0,1,18,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,40.619766,-73.988084,34,34,34,1,21,2,17,0,1,19,1,0,0,0,0,0,1,0,0,0,1,0,0
0,0,40.633578,-73.990052,6,6,6,0,15,11,20,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0
0,1,40.689883,-73.979793,15,15,15,0,16,0,15,0,1,19,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,40.754421,-73.980213,8,8,8,0,31,8,14,0,1,18,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1,40.552768234085214,-73.86257108550454,39,8,3,1,33,8,17,1,1,19,0,0,1,0,0,0,0,0,1,0,0,0,0
